"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Jayson Tatum","SF","BOS",74,46.6,35,85.4,470,30.1,8.8,4.6,2.9,1.1,0.7
"Joel Embiid","C","PHI",66,54.8,33,85.7,424,33.1,10.2,4.2,3.4,1,1.7
"Luka Doncic","PG","DAL",66,49.6,34.2,74.2,128,32.4,8.6,8,3.6,1.4,0.5
"Shai Gilgeous-Alexander","PG","OKC",68,51,34.5,90.5,149,31.4,4.8,5.5,2.8,1.6,1
"Giannis Antetokounmpo","PF","MIL",63,55.3,27.5,64.5,341,31.1,11.8,5.7,3.9,0.8,0.8
"Anthony Edwards","SG","MIN",79,45.9,36.9,75.6,97,24.6,5.8,4.4,3.3,1.6,0.7
"Julius Randle","PF","NYK",77,45.9,34.3,75.7,170,25.1,10,4.1,2.8,0.6,0.3
"Donovan Mitchell","SG","CLE",68,48.4,38.6,86.7,338,28.3,4.2,4.4,2.6,1.5,0.4
"Trae Young","PG","ATL",73,42.9,33.5,88.6,100,26.2,3,10.2,4.1,1.1,0.1
"Zach LaVine","SG","CHI",77,48.5,37.5,84.8,18,24.8,4.5,4.2,2.5,0.9,0.2
"Damian Lillard","PG","POR",58,46.3,37.1,91.4,105,32.2,4.8,7.3,3.3,0.9,0.3
"De'Aaron Fox","PG","SAC",73,51.2,32.4,78,176,25,4.2,6.1,2.5,1.1,0.3
"DeMar DeRozan","SF","CHI",74,50.4,32.4,87.2,67,24.5,4.6,5.1,2.1,1.1,0.5
"Jaylen Brown","SG","BOS",67,49.1,33.5,76.5,256,26.6,6.9,3.5,2.9,1.1,0.4
"Pascal Siakam","PF","TOR",71,48,32.4,77.4,123,24.2,7.8,5.8,2.4,0.9,0.5
"Lauri Markkanen","PF","UTA",66,49.9,39.2,87.5,163,25.6,8.6,1.9,1.9,0.6,0.6
"Nikola Jokic","C","DEN",69,63.2,38.3,82.2,640,24.5,11.8,9.8,3.6,1.3,0.7
"Jalen Green","SG","HOU",76,41.6,33.8,78.6,-447,22.1,3.7,3.7,2.6,0.8,0.2
"Jordan Poole","SG","GSW",82,43,33.6,87,-11,20.4,2.7,4.5,3.1,0.8,0.3
"Mikal Bridges","SF","BKN",83,46.8,38.2,89.5,36,20.1,4.4,3.3,1.5,1.1,0.7
"Stephen Curry","PG","GSW",56,49.3,42.7,91.5,268,29.4,6.1,6.3,3.2,0.9,0.4
"Jalen Brunson","PG","NYK",68,49.1,41.6,82.9,152,24,3.5,6.2,2.1,0.9,0.2
"Kyrie Irving","PG","DAL",60,49.4,37.9,90.5,222,27,5.1,5.5,2.1,1.1,0.8
"Ja Morant","PG","MEM",61,46.6,30.7,74.8,302,26.2,5.9,8.1,3.4,1.1,0.3
"LeBron James","SF","LAL",55,50,32.1,76.8,214,28.9,8.3,6.8,3.2,0.9,0.6
"CJ McCollum","SG","NOP",75,43.7,38.9,76.9,59,20.9,4.4,5.7,2.4,0.9,0.5
"Bam Adebayo","C","MIA",75,54,8.3,80.6,117,20.4,9.2,3.2,2.5,1.2,0.8
"Dejounte Murray","SG","ATL",74,46.4,34.4,83.2,-62,20.5,5.3,6.1,2.2,1.5,0.3
"Domantas Sabonis","PF","SAC",79,61.5,37.3,74.2,212,19.1,12.3,7.3,2.9,0.8,0.5
"Klay Thompson","SG","GSW",69,43.6,41.2,87.9,163,21.9,4.1,2.4,1.8,0.7,0.4
"Kristaps Porzingis","C","WAS",65,49.8,38.5,85.1,80,23.2,8.4,2.7,2.1,0.9,1.5
"Darius Garland","PG","CLE",69,46.2,41,86.3,438,21.6,2.7,7.8,2.9,1.2,0.1
"Franz Wagner","SF","ORL",80,48.5,36.1,84.2,50,18.6,4.1,3.5,2.1,1,0.2
"Devin Booker","SG","PHX",53,49.4,35.1,85.5,247,27.8,4.5,5.5,2.7,1,0.3
"Jimmy Butler","SF","MIA",64,53.9,35,85,47,22.9,5.9,5.3,1.6,1.8,0.3
"Anthony Davis","PF","LAL",56,56.3,25.7,78.4,205,25.9,12.5,2.6,2.2,1.1,2
"Nikola Vucevic","C","CHI",82,52,34.9,83.5,-20,17.6,11,3.2,1.7,0.7,0.7
"Paolo Banchero","PF","ORL",72,42.7,29.8,73.8,-215,20,6.9,3.7,2.8,0.8,0.5
"RJ Barrett","SG","NYK",73,43.4,31,74,-62,19.6,5,2.8,2.2,0.4,0.2
"Keldon Johnson","SF","SAS",63,45.2,32.9,74.9,-491,22,5,2.9,2.1,0.7,0.2
"Spencer Dinwiddie","PG","BKN",79,43.8,36.9,81.2,-8,17.3,3.4,6.5,1.8,0.8,0.3
"Kevin Durant","PF","PHX",47,56,40.4,91.9,258,29.1,6.7,5,3.3,0.7,1.4
"Kyle Kuzma","SF","WAS",64,44.8,33.3,73,10,21.2,7.2,3.7,3,0.6,0.5
"Tyler Herro","PG","MIA",67,43.9,37.8,93.4,170,20.1,5.4,4.2,2.4,0.8,0.2
"Buddy Hield","SG","IND",80,45.8,42.5,82.2,-84,16.8,5,2.8,1.7,1.1,0.3
"Fred VanVleet","SG","TOR",69,39.3,34.2,89.8,195,19.3,4.1,7.2,2,1.8,0.6
"Paul George","F","LAC",56,45.7,37.1,87.1,157,23.8,6.1,5.1,3.1,1.5,0.4
"Terry Rozier","SG","CHA",63,41.5,32.7,80.9,-288,21.1,4.1,5.1,2.1,1.2,0.3
"Anfernee Simons","SG","POR",62,44.7,37.7,89.4,-75,21.1,2.6,4.1,2.1,0.7,0.2
"Bennedict Mathurin","SG","IND",78,43.4,32.3,82.8,-179,16.7,4.1,1.5,1.9,0.6,0.2
"Jamal Murray","PG","DEN",65,45.4,39.8,83.3,300,20,4,6.2,2.2,1,0.2
"Jerami Grant","SF","POR",63,47.5,40.1,81.3,-35,20.5,4.5,2.4,1.8,0.8,0.8
"Jrue Holiday","PG","MIL",67,47.9,38.4,85.9,481,19.3,5.1,7.4,2.9,1.2,0.4
"Evan Mobley","PF","CLE",79,55.4,21.6,67.4,339,16.2,9,2.8,1.8,0.8,1.5
"Bojan Bogdanovic","SF","DET",59,48.8,41.1,88.4,-330,21.6,3.8,2.6,2.3,0.6,0.1
