"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"A.J. Lawson",78,179,"South Carolina","Canada","Undrafted","Undrafted","Undrafted","G","DAL",15,50,40,25,-46,3.7,1.4,0.1,0.2,0.1,0
"Aaron Gordon",80,235,"Arizona","USA","2014","1","4","PF","DEN",68,56.4,34.7,60.8,518,16.3,6.6,3,1.4,0.8,0.8
"Aaron Holiday",72,185,"UCLA","USA","2018","1","23","G","ATL",63,41.8,40.9,84.4,17,3.9,1.2,1.4,0.6,0.6,0.2
"Aaron Nesmith",77,215,"Vanderbilt","USA","2020","1","14","SF","IND",73,42.7,36.6,83.8,-211,10.1,3.8,1.3,1,0.8,0.5
"Aaron Wiggins",77,190,"Maryland","USA","2021","2","55","SG","OKC",70,51.2,39.3,83.1,9,6.8,3,1.1,0.8,0.6,0.2
"Admiral Schofield",77,241,"Tennessee","United Kingdom","2019","2","42","SF","ORL",37,45.1,32.4,91.3,-79,4.2,1.7,0.8,0.4,0.2,0.1
"AJ Green",77,190,"Northern Iowa","USA","Undrafted","Undrafted","Undrafted","G","MIL",35,42.4,41.9,100,-26,4.4,1.3,0.6,0.3,0.2,0
"AJ Griffin",78,220,"Duke","USA","2022","1","16","F","ATL",72,46.5,39,89.4,63,8.9,2.1,1,0.6,0.6,0.2
"Al Horford",81,240,"Florida","Dominican Republic","2007","1","3","C","BOS",63,47.6,44.6,71.4,309,9.8,6.2,3,0.6,0.5,1
"Alec Burks",78,214,"Colorado","USA","2011","1","12","SG","DET",51,43.6,41.4,81.4,-7,12.8,3.1,2.2,1.1,0.7,0.2
"Aleksej Pokusevski",84,210,"None","Serbia","2020","1","17","F","OKC",34,43.4,36.5,62.9,-196,8.1,4.7,1.9,1.3,0.6,1.3
"Alex Caruso",77,186,"Texas A&M","USA","Undrafted","Undrafted","Undrafted","SG","CHI",67,45.5,36.4,80.8,199,5.6,2.9,2.9,1.1,1.5,0.7
"Alex Len",86,250,"Maryland","Ukraine","2013","1","5","C","SAC",26,53.3,0,68.8,19,1.7,2.3,0.5,0.6,0.2,0.4
"Alize Johnson",80,212,"Missouri State","USA","2018","2","50","F","SAS",4,50,0,50,12,1.8,2.5,0.2,1,0.2,0
"Alondes Williams",76,210,"Wake Forest","USA","Undrafted","Undrafted","Undrafted","N/A","BKN",1,0,0,0,-5,0,1,0,2,0,0
"Alperen Sengun",83,243,"None","Turkey","2021","1","16","C","HOU",75,55.3,33.3,71.5,-283,14.8,9,3.9,2.6,0.9,0.9
"Amir Coffey",79,210,"Minnesota","USA","Undrafted","Undrafted","Undrafted","SG","LAC",50,38.6,27.5,77.8,-114,3.4,1.1,1.1,0.4,0.1,0.1
"Andre Drummond",83,279,"Connecticut","USA","2012","1","9","C","CHI",67,60.6,0,53.6,25,6,6.6,0.5,1.1,0.7,0.4
"Andre Iguodala",78,215,"Arizona","USA","2004","1","9","F","GSW",8,46.7,11.1,66.7,35,2.1,2.1,2.4,1.1,0.5,0.4
"Andrew Nembhard",75,191,"Gonzaga","Canada","2022","2","31","PG","IND",75,44.1,35,79,-263,9.5,2.7,4.5,1.7,0.9,0.2
"Andrew Wiggins",79,197,"Kansas","Canada","2014","1","1","SF","GSW",37,47.3,39.6,61.1,118,17.1,5,2.3,1.3,1.2,0.8
"Anfernee Simons",75,181,"None","USA","2018","1","24","SG","POR",62,44.7,37.7,89.4,-75,21.1,2.6,4.1,2.1,0.7,0.2
"Anthony Davis",82,253,"Kentucky","USA","2012","1","1","PF","LAL",56,56.3,25.7,78.4,205,25.9,12.5,2.6,2.2,1.1,2
"Anthony Edwards",76,225,"Georgia","USA","2020","1","1","SG","MIN",79,45.9,36.9,75.6,97,24.6,5.8,4.4,3.3,1.6,0.7
"Anthony Gill",80,230,"Virginia","USA","Undrafted","Undrafted","Undrafted","PF","WAS",59,53.8,13.8,73.1,-12,3.3,1.7,0.6,0.3,0.1,0.2
"Anthony Lamb",78,227,"Vermont","USA","Undrafted","Undrafted","Undrafted","F","GSW",62,47.1,36.7,76.7,32,6.7,3.5,1.5,0.9,0.5,0.3
"Austin Reaves",77,197,"Oklahoma","USA","Undrafted","Undrafted","Undrafted","SG","LAL",64,52.9,39.8,86.4,214,13,3,3.4,1.5,0.5,0.3
"Austin Rivers",76,200,"Duke","USA","2012","1","10","SG","MIN",52,43.5,35,76.9,-142,4.9,1.6,1.4,0.4,0.5,0.1
"Ayo Dosunmu",77,200,"Illinois","USA","2021","2","38","SG","CHI",80,49.3,31.2,80.5,-77,8.6,2.8,2.6,1.2,0.8,0.3
"Bam Adebayo",81,255,"Kentucky","USA","2017","1","14","C","MIA",75,54,8.3,80.6,117,20.4,9.2,3.2,2.5,1.2,0.8
"Ben Simmons",82,240,"Louisiana State","Australia","2016","1","1","PG","BKN",42,56.6,0,43.9,40,6.9,6.3,6.1,2.3,1.3,0.6
"Bennedict Mathurin",77,210,"Arizona","Canada","2022","1","6","SG","IND",78,43.4,32.3,82.8,-179,16.7,4.1,1.5,1.9,0.6,0.2
"Bismack Biyombo",80,255,"None","DRC","2011","1","7","C","PHX",61,57.8,0,35.7,48,4.3,4.3,0.9,0.8,0.3,1.4
